Id,SalePrice
1461,118970.04601
1462,145403.75338
1463,167284.95056
1464,182189.59932
1465,216574.68512
1466,175125.49235
1467,159540.01252
1468,169835.09585
1469,176226.41873
1470,127695.38987
1471,184855.76926
1472,106402.18402
1473,102357.26658
1474,154075.60313
1475,125324.66766
1476,414883.48035
1477,257368.50976
1478,325082.90927
1479,303339.65032
1480,439082.08741
1481,297393.12327
1482,216184.40697
1483,171927.7876
1484,166219.02968
1485,184116.46384
1486,205386.00168
1487,346494.59874
1488,233263.01281
1489,197224.41466
1490,206299.85389
1491,208244.23786
1492,111955.22017
1493,153848.99898
1494,312781.21832
1495,301765.81435
1496,218032.23424
1497,209396.32148
1498,178914.97338
1499,179101.37663
1500,172616.13689
1501,186011.6155
1502,170870.71446
1503,257450.86488
1504,239331.72987
1505,196609.94968
1506,178829.32881
1507,241019.93199
1508,187584.72681
1509,172546.86342
1510,144009.9207
1511,144485.22869
1512,161923.24082
1513,163910.85052
1514,133129.56739
1515,192722.74915
1516,156951.1972
1517,145421.1706
1518,154208.41706
1519,196682.38188
1520,127168.38768
1521,129479.22669
1522,162072.58423
1523,125109.69917
1524,113777.33852
1525,119172.88147
1526,107286.25941
1527,123629.19297
1528,142665.21806
1529,139334.31824
1530,160095.639
1531,89913.364478
1532,86158.880152
1533,132399.71156
1534,119584.51648
1535,140207.58809
1536,106460.95689
1537,51954.33106
1538,148806.94837
1539,209930.09286
1540,102552.65212
1541,132861.87938
1542,150536.10575
1543,204423.1745
1544,96558.530284
1545,113137.79078
1546,140424.88756
1547,140241.1026
1548,141121.54756
1549,133165.59104
1550,144429.71166
1551,102263.25406
1552,119168.62183
1553,126543.79481
1554,121316.89803
1555,173051.37574
1556,180932
1557,106397.79346
1558,108853.97592
1559,95143.383988
1560,135417.0126
1561,131184.25
1562,125947.08982
1563,119236.11736
1564,153166.26559
1565,149874.60568
1566,204704.65885
1567,104399.20482
1568,234338.52535
1569,114559.93055
1570,128834.19518
1571,125032.84254
1572,128185.35522
1573,206687.47739
1574,138483.99538
1575,186661.20913
1576,220666.09313
1577,182136.78258
1578,145858.43823
1579,148353.4674
1580,196799.52826
1581,137056.33251
1582,133440.40964
1583,259731.40262
1584,231738.99247
1585,149458.43116
1586,79596.325963
1587,96335.46
1588,127780.22114
1589,98978.701218
1590,132121.73749
1591,98563.969051
1592,119318.37546
1593,120818.59778
1594,121660.1101
1595,118840.58904
1596,226625.59424
1597,214716.66204
1598,231580.89784
1599,153989.78533
1600,162741.24633
1601,66992.447785
1602,112850.26191
1603,82431.611176
1604,272421.93777
1605,246542.77526
1606,156965.12804
1607,181690.31554
1608,210953.97565
1609,206450.19283
1610,182497.05509
1611,142545.41551
1612,190596.39612
1613,158840.23064
1614,103218.0963
1615,85260.286885
1616,85260.286885
1617,96683.265175
1618,125719.51678
1619,133294.65616
1620,187694.50365
1621,153076.87365
1622,138504.00802
1623,226286.8492
1624,191956.26601
1625,116984.00255
1626,162411.1888
1627,174861.72862
1628,274006.09463
1629,187253.52652
1630,357909.01219
1631,230887.69249
1632,260222.98352
1633,176740.50362
1634,176554.41407
1635,177426.96723
1636,159878.36595
1637,168510.65602
1638,210337.13723
1639,178240.06203
1640,267242.10362
1641,182125.85645
1642,241760.03229
1643,241464.13484
1644,237410.26353
1645,166015.40467
1646,150822.91403
1647,163299.37475
1648,143825.79041
1649,130245.78347
1650,113375.34433
1651,134337.17526
1652,107263.79847
1653,106832.99125
1654,152176.46139
1655,144234.65698
1656,149770.64584
1657,153038.07584
1658,150201.45306
1659,124436.52725
1660,147246.72842
1661,449316.38926
1662,455599.45056
1663,363342.19765
1664,482185.39476
1665,330713.93964
1666,280596.07504
1667,361838.53343
1668,331518.15727
1669,306318.33363
1670,338985.89237
1671,227195.76061
1672,410865.11817
1673,310334.64842
1674,246146.85882
1675,189471.553
1676,186165.6079
1677,200403.88353
1678,443425.29597
1679,338419.14396
1680,352200.65273
1681,287983.87072
1682,273993.67125
1683,201852.42837
1684,189398.60886
1685,180739.20262
1686,170085.85051
1687,184302.86709
1688,199470.00271
1689,197150.72102
1690,190505.90365
1691,181796.64999
1692,274529.60177
1693,184116.46384
1694,172566.74219
1695,179546.32601
1696,248131.55107
1697,178034.0898
1698,345127.10095
1699,288532.87247
1700,254842.82291
1701,292236.80141
1702,241907.84346
1703,239063.6871
1704,241932.99888
1705,231381.28253
1706,397927.79727
